City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lebu,CL,2020-04-16 08:51:09,-37.62,-73.65,54.07,91,21,7.45
70,Kapaa,US,2020-04-16 08:50:24,22.08,-159.32,75.2,83,75,13.87
71,Bambous Virieux,MU,2020-04-16 08:52:14,-20.34,57.76,82.4,69,75,14.99
72,Carnarvon,AU,2020-04-16 08:52:14,-24.87,113.63,82.4,61,75,19.46
73,Castro,BR,2020-04-16 08:48:36,-24.79,-50.01,42.67,53,0,2.37
74,Marawi,PH,2020-04-16 08:52:14,8.0,124.29,76.71,71,96,3.09
75,Bengkulu,ID,2020-04-16 08:50:44,-3.8,102.27,85.39,68,92,5.21
76,Mataura,NZ,2020-04-16 08:50:26,-46.19,168.86,50.0,81,100,10.0
77,Kodiak,US,2020-04-16 08:50:44,57.79,-152.41,39.2,93,75,1.99
78,Dakar,SN,2020-04-16 08:48:49,14.69,-17.44,69.8,88,60,16.11
79,Devils Lake,US,2020-04-16 08:52:15,48.11,-98.87,21.2,79,90,4.7
80,Calbuco,CL,2020-04-16 08:52:15,-41.77,-73.13,57.2,87,90,19.46
81,Shiyan,CN,2020-04-16 08:52:15,32.65,110.78,74.91,24,94,6.58
82,Benton Harbor,US,2020-04-16 08:52:16,42.12,-86.45,32.0,85,40,9.22
83,Nanzhang,CN,2020-04-16 08:52:16,31.78,111.84,79.39,38,73,9.22
84,East London,ZA,2020-04-16 08:50:32,-33.02,27.91,71.6,56,46,10.29
85,Richards Bay,ZA,2020-04-16 08:50:59,-28.78,32.04,75.97,67,24,8.21
86,Cape Town,ZA,2020-04-16 08:46:39,-33.93,18.42,68.0,72,75,10.29
87,Tiksi,RU,2020-04-16 08:50:38,71.69,128.87,0.16,92,100,9.64
88,Kaitangata,NZ,2020-04-16 08:50:52,-46.28,169.85,48.99,72,100,5.01
89,Mae Sot,TH,2020-04-16 08:52:17,16.72,98.57,96.8,30,20,6.93
90,Fuerte Olimpo,PY,2020-04-16 08:52:17,-21.04,-57.87,54.37,62,0,3.78
91,Yeppoon,AU,2020-04-16 08:52:17,-23.13,150.73,75.2,64,2,4.7
92,La Ronge,CA,2020-04-16 08:51:07,55.1,-105.28,6.8,77,5,3.36
93,Nikolskoye,RU,2020-04-16 08:50:38,59.7,30.79,39.99,74,90,6.71
94,Tuktoyaktuk,CA,2020-04-16 08:50:25,69.45,-133.04,26.94,98,100,9.24
95,Marfino,RU,2020-04-16 08:52:18,55.7,37.38,45.0,70,75,15.66
96,Mar Del Plata,AR,2020-04-16 08:50:50,-38.0,-57.56,51.01,93,21,3.36
97,Grindavik,IS,2020-04-16 08:51:06,63.84,-22.43,39.2,93,75,10.29
98,Port Elizabeth,ZA,2020-04-16 08:52:19,-33.92,25.57,68.0,60,93,10.29
99,Lorengau,PG,2020-04-16 08:50:35,-2.02,147.27,83.41,69,60,2.95
100,Caravelas,BR,2020-04-16 08:52:19,-17.71,-39.25,76.91,84,79,1.63
101,Ginir,ET,2020-04-16 08:52:19,7.13,40.7,73.78,35,96,4.43
102,Petropavlovsk-Kamchatskiy,RU,2020-04-16 08:51:33,53.05,158.65,39.2,64,40,11.18
103,Sobolevo,RU,2020-04-16 08:52:20,54.43,31.9,41.25,78,100,21.52
104,Port-Gentil,GA,2020-04-16 08:51:23,-0.72,8.78,77.0,100,75,8.05
105,Guozhen,CN,2020-04-16 08:52:20,34.37,107.36,76.26,15,100,8.59
106,Burnie,AU,2020-04-16 08:51:35,-41.07,145.92,54.0,67,30,4.0
107,Victoria,HK,2020-04-16 08:47:14,22.29,114.16,80.6,51,20,8.05
108,Udachnyy,RU,2020-04-16 08:52:20,66.42,112.4,14.0,61,100,8.95
109,Malpura,IN,2020-04-16 08:52:21,26.28,75.38,103.98,11,10,6.64
110,Pocatello,US,2020-04-16 08:52:21,42.87,-112.45,30.99,68,1,13.87
111,Airai,TL,2020-04-16 08:52:21,-8.93,125.41,65.5,75,97,2.55
112,Puerto Ayora,EC,2020-04-16 08:50:34,-0.74,-90.35,79.0,89,11,3.0
113,Olafsvik,IS,2020-04-16 08:50:41,64.89,-23.71,38.64,89,100,13.06
114,Namatanai,PG,2020-04-16 08:52:22,-3.67,152.43,82.26,76,98,6.51
115,Tasiilaq,GL,2020-04-16 08:50:23,65.61,-37.64,30.2,92,100,20.8
116,Kruisfontein,ZA,2020-04-16 08:50:53,-34.0,24.73,69.01,37,85,9.82
117,Ilulissat,GL,2020-04-16 08:49:28,69.22,-51.1,28.4,79,100,6.93
118,Roma,US,2020-04-16 08:52:05,43.21,-75.46,30.2,86,90,5.82
119,Severomorsk,RU,2020-04-16 08:52:23,69.07,33.42,32.0,96,90,4.47
120,Kavaratti,IN,2020-04-16 08:51:41,10.57,72.64,91.4,63,20,4.7
121,Sao Felix Do Xingu,BR,2020-04-16 08:52:23,-6.64,-51.99,69.84,90,99,1.45
122,Ewo,CG,2020-04-16 08:52:23,-0.87,14.82,90.93,51,100,0.85
123,Hermanus,ZA,2020-04-16 08:52:23,-34.42,19.23,68.0,80,4,5.99
124,Esperance,AU,2020-04-16 08:51:31,-33.87,121.9,68.0,52,40,8.05
125,Hasaki,JP,2020-04-16 08:50:29,35.73,140.83,51.8,66,75,12.75
126,Pacific Grove,US,2020-04-16 08:51:21,36.62,-121.92,55.99,82,90,6.93
127,Port Hedland,AU,2020-04-16 08:52:24,-20.32,118.57,89.6,62,81,13.87
128,Taoudenni,ML,2020-04-16 08:52:24,22.68,-3.98,89.31,26,0,9.42
129,Saint-Philippe,RE,2020-04-16 08:51:04,-21.36,55.77,84.2,61,0,27.51
130,Ancud,CL,2020-04-16 08:52:25,-41.87,-73.82,53.6,100,90,9.17
131,Channel-Port Aux Basques,CA,2020-04-16 08:52:25,47.57,-59.14,31.89,96,41,10.0
132,Basco,PH,2020-04-16 08:52:25,20.45,121.97,74.57,83,76,19.22
133,Portland,US,2020-04-16 08:50:59,45.52,-122.68,53.01,71,20,2.13
134,Cherskiy,RU,2020-04-16 08:50:31,68.75,161.3,8.35,94,100,3.69
135,Fredericton,CA,2020-04-16 08:51:00,45.95,-66.67,30.2,63,1,6.93
136,Poronaysk,RU,2020-04-16 08:52:26,49.22,143.12,32.16,94,6,9.51
137,Batagay-Alyta,RU,2020-04-16 08:52:26,67.8,130.41,-1.26,81,100,17.96
138,Fukue,JP,2020-04-16 08:51:34,32.69,128.84,64.4,48,45,6.93
139,Longyearbyen,SJ,2020-04-16 08:50:53,78.22,15.64,35.6,69,40,9.17
140,San Jose,US,2020-04-16 08:49:04,37.34,-121.89,57.2,76,1,5.82
141,Soyo,AO,2020-04-16 08:50:39,-6.13,12.37,82.4,83,75,4.7
142,Slave Lake,CA,2020-04-16 08:52:27,55.28,-114.77,24.8,92,75,2.24
143,Havoysund,NO,2020-04-16 08:52:28,71.0,24.66,39.2,74,29,11.41
144,Avera,US,2020-04-16 08:52:28,33.19,-82.53,51.8,70,1,3.74
145,Chadiza,ZM,2020-04-16 08:52:28,-14.07,32.44,81.48,38,20,5.97
146,Nusaybin,TR,2020-04-16 08:52:28,37.08,41.22,60.8,72,75,8.05
147,Teguise,ES,2020-04-16 08:52:28,29.06,-13.56,68.0,82,20,8.05
148,San Cristobal,VE,2020-04-16 08:51:05,7.77,-72.22,65.46,57,79,0.45
149,Saldanha,ZA,2020-04-16 08:51:30,-33.01,17.94,62.6,88,0,2.24
150,Luderitz,NA,2020-04-16 08:52:29,-26.65,15.16,66.2,52,64,11.41
