City_Id,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
480,Sebring,US,78.01,27.5,-81.44,clear sky,La Quinta Inn & Suites by Wyndham Sebring
482,Taganak,PH,89.6,6.08,118.3,few clouds,
483,Ambon,ID,89.6,-3.7,128.18,scattered clouds,Swiss-Belhotel Ambon
486,Lazaro Cardenas,MX,75.63,17.96,-102.2,broken clouds,Hotel Quinta Antigua
489,Yanam,IN,87.8,16.73,82.22,scattered clouds,The Regency Hotel
496,Hobyo,SO,87.04,5.35,48.53,light rain,
499,Dewa,IN,87.8,27.03,81.17,haze,Baba Hotel
503,Omboue,GA,77.13,-1.57,9.26,light rain,Hotel Olako
505,Bilma,NE,83.98,18.69,12.92,overcast clouds,Expeditions Ténére voyages
511,San Andres,CO,82.4,12.58,-81.7,few clouds,Hotel Arena Blanca
514,Quatre Cocos,MU,75.2,-20.21,57.76,shower rain,Veranda Palmar Beach Hotel
515,Saint-Georges,GD,78.8,12.06,-61.75,light intensity shower rain,Radisson Grenada Beach Resort
517,Boueni,YT,84.2,-12.9,45.08,broken clouds,Auberge bouloulou( inter djasmire )
518,Tura,IN,85.78,25.52,90.22,light rain,Hotel RIKMAN Continental
519,Lobito,AO,77.7,-12.35,13.55,light rain,Casa Rosa Hotel Residence
531,Fairhope,US,75.99,30.52,-87.9,overcast clouds,Hampton Inn Fairhope-Mobile Bay
550,Mangrol,IN,89.51,21.12,70.12,clear sky,Hotel The Royal Honours
551,Wagar,SD,84.27,16.15,36.2,clear sky,
